speaker,speaker_name,dialogue_rows,expected_or_observed_gender,male_first_person_forms,female_first_person_forms,status
char_WISEMON,Вайзмон,36,unknown,0,0,no_explicit_first_person_form
char_WITCHMON,Витчмон,44,female,0,3,curated_source_confirmed
char_WIZARDMON,Визармон,28,contextual male,2,0,first_person_evidence_only
char_WOLFMON,Вольфмон,9,unknown,0,0,no_explicit_first_person_form
char_WOODMON,Вудмон,8,unknown,0,0,no_explicit_first_person_form
char_WORMMON,Ворммон,6,contextual male,1,0,first_person_evidence_only
char_XV-MON,ИксВи-мон,18,contextual male,2,0,first_person_evidence_only
char_YATAGARAMON,Ятагарамон,8,unknown,0,0,no_explicit_first_person_form
char_YUKIDARUMON,Юкидарумон,19,unknown,0,0,no_explicit_first_person_form
char_YUNIMON,Юнимон,6,unknown,0,0,no_explicit_first_person_form
char_ZANBAMON,Дзанбамон,4,unknown,0,0,no_explicit_first_person_form
char_ZUBAEAGERMON,Зубаигермон,34,contextual male,1,0,first_person_evidence_only
char_ZUDOMON,Зудомон,70,contextual male,3,0,first_person_evidence_only
