speaker,speaker_name,dialogue_rows,expected_or_observed_gender,male_first_person_forms,female_first_person_forms,status
char_OMEGAMON_ZWART,Омегамон Цварт,5,contextual male,1,0,first_person_evidence_only
char_OMEGASHOUTMON,Омега Шаутмон,5,unknown,0,0,no_explicit_first_person_form
char_OPHANIMON,Офанимон,7,female,0,0,curated_source_confirmed
char_ORGEMON,Оргмон,37,unknown,0,0,no_explicit_first_person_form
char_OROCHIMON,Оротимон,4,unknown,0,0,no_explicit_first_person_form
char_OTAMAMON,Отамамон,12,unknown,0,0,no_explicit_first_person_form
char_OURYUMON,Оурюмон,7,unknown,0,0,no_explicit_first_person_form
char_PAGUMON,Пагумон,4,unknown,0,0,no_explicit_first_person_form
char_PAILDRAMON,Пейлдрамон,11,male,2,0,curated_source_confirmed
char_PALMON,Пальмон,58,female,0,3,curated_source_confirmed
char_PANDAMON,Пандамон,16,unknown,0,0,no_explicit_first_person_form
char_PANJYAMON,Панджамон,9,contextual male,1,0,first_person_evidence_only
char_PARROTMON,Пэрротмон,7,unknown,0,0,no_explicit_first_person_form
char_PATAMON,Патамон,15,contextual male,1,0,first_person_evidence_only
char_PECKMON,Пекмон,30,contextual male,3,0,first_person_evidence_only
char_PEGASMON,Пегасмон,82,contextual male,4,0,first_person_evidence_only
char_PENMON,Пинмон,20,contextual male,3,0,first_person_evidence_only
char_PHARAOHMON,Фараомон,26,contextual male,1,0,first_person_evidence_only
char_PICKLEMON,Пикмон,24,unknown,0,0,no_explicit_first_person_form
char_PICODEVIMON,Пико Девимон,20,contextual male,1,0,first_person_evidence_only
