package,file,reviewed_id,runtime_key,role,mode,group_ids,hero_id,heroine_id
patch_text01,message/s910_169.mbe/000_Sheet1.csv,s910_169_640,s910_169_640,operator,direct,s910_169_640,s910_169_640__F,s910_169_640__H
patch_text01,message/s910_169.mbe/000_Sheet1.csv,s910_169_930,s910_169_930,player_address,direct,s910_169_930,s910_169_930__H,s910_169_930__F
patch_text01,message/t03.mbe/000_Sheet1.csv,f_t0304_0020_0060,f_t0304_0020_0060,operator,direct,f_t0304_0020_0060,f_t0304_0020_0060__F,f_t0304_0020_0060__H
patch_text01,message/t03.mbe/000_Sheet1.csv,f_t0304_0040_0010,f_t0304_0040_0010,operator,direct,f_t0304_0040_0010,f_t0304_0040_0010__F,f_t0304_0040_0010__H
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0030_0012,dlcep001_0030_0012,player_address,direct,dlcep001_0030_0012,dlcep001_0030_0012__H,dlcep001_0030_0012__F
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0030_0013,dlcep001_0030_0013,player_address,direct,dlcep001_0030_0013,dlcep001_0030_0013__H,dlcep001_0030_0013__F
addcont_01_text01,message/dlcep001_field.mbe/000_Sheet1.csv,dlcep001_0120_0010,dlcep001_0120_0010,player_address,direct,dlcep001_0120_0010,dlcep001_0120_0010__H,dlcep001_0120_0010__F
addcont_02_text01,message/d210.mbe/000_Sheet1.csv,d210_040_070,d210_040_070,player_address,direct,d210_040_070,d210_040_070__H,d210_040_070__F
addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_030_080,d310_030_080,player_address,direct,d310_030_080,d310_030_080__H,d310_030_080__F
addcont_03_text01,message/d310.mbe/000_Sheet1.csv,d310_100_010,d310_100_010,player_address,direct,d310_100_010,d310_100_010__H,d310_100_010__F
patch_text01,message/d01.mbe/000_Sheet1.csv,f_d0101_0100_0020,f_d0101_0100_0020,player_address,direct,f_d0101_0100_0020,f_d0101_0100_0020__H,f_d0101_0100_0020__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0050_0090,f_d0201_0050_0090,player_address,direct,f_d0201_0050_0090,f_d0201_0050_0090__H,f_d0201_0050_0090__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0260_0010,f_d0201_0260_0010,player_address,direct,f_d0201_0260_0010,f_d0201_0260_0010__H,f_d0201_0260_0010__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0201_0670_0020,f_d0201_0670_0020,player_address,direct,f_d0201_0670_0020,f_d0201_0670_0020__H,f_d0201_0670_0020__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0040_0030,f_d0202_0040_0030,player_address,direct,f_d0202_0040_0030,f_d0202_0040_0030__H,f_d0202_0040_0030__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0630_0010,f_d0202_0630_0010,player_address,direct,f_d0202_0630_0010,f_d0202_0630_0010__H,f_d0202_0630_0010__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0202_0750_0010,f_d0202_0750_0010,player_address,direct,f_d0202_0750_0010,f_d0202_0750_0010__H,f_d0202_0750_0010__F
patch_text01,message/d02.mbe/000_Sheet1.csv,f_d0204_9010_0010,f_d0204_9010_0010,player_address,direct,f_d0204_9010_0010,f_d0204_9010_0010__H,f_d0204_9010_0010__F
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0301_0180_0050,f_d0301_0180_0050,player_address,direct,f_d0301_0180_0050,f_d0301_0180_0050__H,f_d0301_0180_0050__F
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0302_0160_0040,f_d0302_0160_0040,player_address,direct,f_d0302_0160_0040,f_d0302_0160_0040__H,f_d0302_0160_0040__F
